"Scientific_Name","Plot","Total_Weight","pXRF_measurement_ID","Cl_concentration","Ca_concentration","Ti_concentration","Cr_concentration","Mn_concentration","Fe_concentration","Ni_concentration","Cu_concentration","Zn_concentration","As_concentration","Se_concentration","Cd_concentration","Re_concentration","Substrate_RT"
"Dasyochloa pulchella","P1",0.612,"2111",361,2557,78.9,0,18.1,562,0,6.5,58.7,0.9,0,0,0,0.022857372
"Dasyochloa pulchella","P5",0.49,"2112",675,3254,81.4,4.4,0,521,0,0,0,4.3,0,0,0,0.054272234
"Dasyochloa pulchella","P5",0.17,"2113",1029,2637,28.2,3,0,129,0,0,0,2.9,0,0,0,0.03200369
"Dasyochloa pulchella","P5",0.247,"2114",1059,2213,69.7,0,0,432,0,9.6,7.8,2.1,0,0,0,0.030637026
"Dasyochloa pulchella","P1",0.562,"2115",771,6766,143,0,0,917,0,73.8,0,4.1,2.3,0,0,0.055219896
"Dasyochloa pulchella","P2",0.443,"2116",1502,2579,54.5,3.8,0,470,0,0,19.3,3.7,0,0,0,0.042015135
"Dasyochloa pulchella","P5",0.497,"2117",992,3114,42.4,4.1,0,374,0,0,0,6.1,0,0,0,0.042112675
"Dasyochloa pulchella","P5",0.541,"2118",1098,3813,114,7.5,0,1179,0,0,0,3.3,1.5,0,0,0.030034462
"Datura wrightii","P1",0.685,"2278",412,13226,22.7,0,51.5,167,0,20.1,31.7,1.4,0.5,0,2,0.063856483
"Datura wrightii","P1",0.735,"2279",7770,17723,29.9,0,52.1,231,0,11.2,21.7,1.6,0,9.1,9.2,0.056364711
"Datura wrightii","P1",0.856,"2280",0,11661,22,0,54.2,135,0,13.5,37.7,1.6,0.4,0,1.6,0.066752657
"Eragrostis cf. curvula","P6",0.939,"2380",649,3319,31.3,4,15.3,97.3,0,32,4.1,1.4,1,8.3,0,0.073837332
"Eragrostis lehmanniana","P1",0.832,"2137",562,2984,17,4.3,0,22.2,0,0,4.4,1.4,0.3,0,0,0.072966754
"Eragrostis lehmanniana","P1",0.9,"2138",1349,3312,16.3,4.8,0,42.9,0,2.2,3.4,2,1.6,0,0,0.073856868
"Eragrostis lehmanniana","P1",0.604,"2139",655,3006,0,4.1,0,36.6,0,2.6,7.5,2.9,0.4,0,0,0.058463641
"Eragrostis lehmanniana","P2",0.627,"2140",1508,5005,28.3,8.3,0,14.9,0,0,9.3,4,0.5,0,0,0.069083653
"Eragrostis lehmanniana","P2",0.85,"2141",1877,3332,0,5,0,47.4,0,0,23.3,3.4,0,0,0,0.069922172
"Eragrostis lehmanniana","P2",0.779,"2142",1521,2994,16.4,5.3,0,37.4,0,0,7.8,2.3,0,0,0,0.080670498
"Eragrostis lehmanniana","P2",1.03,"2143",969,2585,0,3.2,0,36.9,0,5,3.7,1.4,0.4,0,0,0.090995118
